,x,y,time,theta
82.0,1080.5970458984375,362.0,1.4453785419464111,-0.02588538302324478
83.0,1078.5611572265625,395.4364929199219,1.4623918533325195,-0.0009267266653809614
84.0,1080.5,428.0,1.478996992111206,0.02329048368669262
85.0,1077.433349609375,454.5,1.495511531829834,0.04292830988095364
86.0,1078.9339599609375,485.34130859375,1.5125257968902588,0.06569923027854119
87.0,1078.0533447265625,512.06396484375,1.5295398235321045,0.08535223226006045
88.0,1078.5552978515625,534.6102294921875,1.5455536842346191,0.10187548579308947
89.0,1077.221923828125,555.5294189453125,1.5620675086975098,0.11715679601447637
90.0,1078.7508544921875,564.9703369140625,1.5790832042694092,0.12403727334041692
91.0,1079.668701171875,568.7000732421875,1.595597743988037,0.12675268383164429
92.0,1079.0277099609375,570.385986328125,1.6121113300323486,0.12797957851109726
93.0,1078.9539794921875,565.2509765625,1.6291251182556152,0.12424164658639641
94.0,1076.1827392578125,554.83837890625,1.6461398601531982,0.11665277485206876
95.0,1075.3392333984375,540.9912109375,1.6631543636322021,0.10654187406761084
96.0,1074.4952392578125,520.7858276367188,1.679168701171875,0.09175058308471362
97.0,1075.7913818359375,497.28643798828125,1.695683240890503,0.0744932601728222
98.0,1078.65966796875,472.27783203125,1.7121973037719727,0.056065483844434216
99.0,1077.3572998046875,448.0410461425781,1.7292110919952393,0.03814790429619069
100.0,1077.647705078125,421.7046203613281,1.745725393295288,0.018615887772725215
101.0,1076.0450439453125,398.2617492675781,1.7622394561767578,0.0011780016744190047
102.0,1080.3994140625,366.631591796875,1.779817819595337,-0.022422822801586806
103.0,1081.259765625,343.2597351074219,1.8013355731964111,-0.03991221874821338
104.0,1079.4156494140625,325.11383056640625,1.8168494701385498,-0.05351876210588996
105.0,1080.327392578125,310.6257019042969,1.8338632583618164,-0.06439910550949432
106.0,1081.9906005859375,303.43206787109375,1.8498773574829102,-0.06980665532010738
107.0,1082.75244140625,302.4676513671875,1.8658912181854248,-0.07053187877136691
108.0,1081.1142578125,308.59075927734375,1.8824050426483154,-0.0659284512774338
109.0,1080.9569091796875,321.23486328125,1.89841890335083,-0.056430391880339936
110.0,1079.8275146484375,339.3777770996094,1.9144341945648193,-0.042821078419374714
111.0,1078.0687255859375,359.465576171875,1.9304461479187012,-0.027780810114051868
112.0,1077.543701171875,384.3517150878906,1.9464607238769531,-0.009190949547687621
113.0,1078.36376953125,407.01190185546875,1.9627041816711426,0.0076923113442495805
114.0,1078.107421875,429.6332702636719,1.9792194366455078,0.02450267878077861
115.0,1077.4678955078125,450.85089111328125,1.9957337379455566,0.040228011491941496
116.0,1078.03662109375,469.6871643066406,2.0132486820220947,0.05415297836362565
117.0,1078.9898681640625,486.23626708984375,2.029762029647827,0.06635860081937989
118.0,1079.1890869140625,500.018798828125,2.045775890350342,0.07650278531475047
119.0,1079.305908203125,511.53533935546875,2.0622901916503906,0.08496417486583402
120.0,1077.810791015625,520.4769897460938,2.0793049335479736,0.0915241577505273
121.0,1079.1826171875,523.0706787109375,2.0958189964294434,0.09342541147706351
122.0,1077.595947265625,523.3880615234375,2.1123335361480713,0.09365801344336394
123.0,1078.1405029296875,519.9378662109375,2.129347562789917,0.09112887351156501
124.0,1078.9066162109375,511.51104736328125,2.1453609466552734,0.08494634171101295
125.0,1076.745849609375,504.83770751953125,2.162696123123169,0.0800449936409448
126.0,1074.9832763671875,496.201416015625,2.178710699081421,0.0736950641305964
127.0,1076.0401611328125,480.6225891113281,2.196359634399414,0.06222133510163902
128.0,1075.0513916015625,466.5068054199219,2.2133734226226807,0.051804250933199125
129.0,1076.6484375,450.4670104980469,2.2293872833251953,0.03994387127355764
130.0,1080.561767578125,430.2452087402344,2.2454006671905518,0.02495679085227631
131.0,1078.52001953125,413.2799987792969,2.2624154090881348,0.012354747448313441
132.0,1079.990234375,396.02081298828125,2.2794301509857178,-0.0004913714362894117
133.0,1078.5655517578125,376.43267822265625,2.2954447269439697,-0.015101111302653791
134.0,1079.3466796875,359.32879638671875,2.3124592304229736,-0.02788311804533289
135.0,1078.771728515625,347.76873779296875,2.3298580646514893,-0.036534886392540156
136.0,1080.7501220703125,337.9065246582031,2.3453712463378906,-0.04392381565507336
137.0,1080.1513671875,337.50830078125,2.3622512817382812,-0.044222320479186006
138.0,1079.13671875,338.13568115234375,2.3792665004730225,-0.043752047329321475
139.0,1078.9091796875,342.7579345703125,2.395780563354492,-0.040288169914175054
140.0,1078.0565185546875,359.47332763671875,2.413295269012451,-0.027775012251000486
141.0,1080.5579833984375,370.4371643066406,2.4308104515075684,-0.01957904330702026
142.0,1081.1241455078125,385.85601806640625,2.4463236331939697,-0.008068827854622818
143.0,1081.50927734375,402.9785461425781,2.4623372554779053,0.004690369476071321
144.0,1079.1551513671875,416.8227844238281,2.4793527126312256,0.014988488971471536
145.0,1081.2999267578125,428.4898986816406,2.4953582286834717,0.023654106259843877
146.0,1081.2567138671875,436.7666320800781,2.512704610824585,0.029794151340169328
147.0,1080.5557861328125,446.9900817871094,2.5292181968688965,0.037369693168767204
148.0,1080.4967041015625,455.3207092285156,2.5462327003479004,0.04353545169848094
149.0,1080.82958984375,460.9773254394531,2.562246561050415,0.04771834179883744
150.0,1077.7847900390625,462.4349060058594,2.579261541366577,0.048795680628452076
151.0,1077.210693359375,463.21405029296875,2.595275640487671,0.04937148428535637
152.0,1076.6492919921875,460.4244079589844,2.6122899055480957,0.04730961155200575
153.0,1074.8250732421875,457.1775817871094,2.6288037300109863,0.04490888717637703
154.0,1075.0087890625,449.9236755371094,2.6458182334899902,0.03954168267595587
155.0,1075.376220703125,440.17852783203125,2.66233229637146,0.03232342755101986
156.0,1076.202392578125,433.76580810546875,2.6793479919433594,0.027568726696671653
157.0,1075.1722412109375,423.18841552734375,2.69586181640625,0.019717989082571608
158.0,1076.576904296875,412.4726257324219,2.712210178375244,0.011754385236824816
159.0,1077.9581298828125,401.4844055175781,2.7292234897613525,0.003577959975518352
